64	582
64	537
64	407
64	398
64	404
64	632
64	391
64	396
64	379
64	432
256	406
256	408
256	418
256	415
256	401
256	409
256	416
256	543
256	548
256	538
1024	587
1024	604
1024	594
1024	592
1024	686
1024	593
1024	467
1024	467
1024	465
1024	467
4096	648
4096	639
4096	647
4096	795
4096	798
4096	790
4096	656
4096	852
4096	657
4096	679
16384	1375
16384	1584
16384	1372
16384	1364
16384	1393
16384	1370
16384	1372
16384	4814
16384	1367
16384	1376
65536	4014
65536	3981
65536	4559
65536	3995
65536	4027
65536	4175
65536	4555
65536	3928
65536	4562
65536	4586
262144	14910
262144	13875
262144	14067
262144	15608
262144	15485
262144	13879
262144	15871
262144	16277
262144	13972
262144	14784
1048576	60025
1048576	63452
1048576	61942
1048576	66126
1048576	60906
1048576	51858
1048576	62760
1048576	64590
1048576	67043
1048576	60325
