1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
10	1
10	1
10	1
10	1
10	1
10	1
10	1
10	1
10	1
10	1
100	1
100	1
100	1
100	1
100	1
100	1
100	1
100	1
100	1
100	1
1000	4
1000	4
1000	4
1000	3
1000	4
1000	4
1000	4
1000	4
1000	4
1000	4
10000	46
10000	30
10000	30
10000	30
10000	30
10000	30
10000	30
10000	30
10000	30
10000	30
100000	577
100000	411
100000	418
100000	412
100000	412
100000	420
100000	411
100000	418
100000	421
100000	410
1000000	5347
1000000	4076
1000000	3659
1000000	3585
1000000	3596
1000000	3593
1000000	3579
1000000	3602
1000000	3608
1000000	3607
10000000	39252
10000000	39515
10000000	38761
10000000	38597
10000000	38617
10000000	38593
10000000	34230
10000000	33653
10000000	33501
10000000	33503
100000000	331422
100000000	332096
100000000	336753
100000000	329247
100000000	329475
100000000	329098
100000000	329002
100000000	329165
100000000	329659
100000000	329326
